"inst","w","var","inc","rd","evpir","vssr","time"
41,6,2,10,-0.699423076923308,4.40346119052353,-0.0702425588057014,182.6075
45,6,2,10,-2.32343850611719,4.15847345560386,0.467169512357824,176.9262
60,6,2,10,-2.59531034482758,3.91996339694126,-0.273595021806757,393.955
119,6,2,10,-1.29996750081248,3.35857754362858,0,172.0625
120,6,2,10,-0.999361973628033,3.94140249671291,-0.0960510591440131,165.9854
122,6,2,10,-1.65809682804674,2.43347117820014,-0.000226346250697513,209.2638
130,6,2,10,-2.18904983596677,3.95399673614187,-0.0971930031523822,141.9066
134,6,2,10,-0.982575088339004,2.30861689779854,2.64286416354592,100.6199
135,6,2,10,-1.42524999999976,2.11742865186064,0.824501203401733,108.5868
136,6,2,10,-2.60320781032078,1.49190574724165,0.906680413650325,149.246
194,6,2,10,-3.20082285176891,6.60132847656779,1.7536955145273,178.3474
195,6,2,10,-3.98217361014557,2.31344691310188,0.840615650619129,268.9554
198,6,2,10,-2.86213779781069,4.62024601192101,0.495128375515257,225.894
200,6,2,10,-3.87276493676427,2.85502467223635,0.343443867451841,181.3545
201,6,2,10,-2.14430931620031,4.36099230792858,-0.374568056940945,208.0399
205,6,2,10,-4.80374869836862,3.90810605208514,-0.140298386457948,218.5272
207,6,2,10,-2.56574410163318,2.04535039929512,-0.764721693966382,303.697
267,6,2,10,0.000222123500454047,1.51065857250429,1.1437113644792,111.4248
268,6,2,10,0,2.12305205302296,0,168.6078
271,6,2,10,-1.9800810654316,1.89059099576797,-0.000236294337452917,143.9517
274,6,2,10,-1.18060275331738,1.93026477833695,1.60900685597591,180.6701
278,6,2,10,-1.88648779895569,1.19468445511842,-0.452227594976188,114.5744
279,6,2,10,-0.441105390354303,2.6703901416567,0.0314511209477037,173.1367
288,6,2,10,-0.285094727230998,3.39953439502257,2.52923765769106,95.6832
341,6,2,10,0.235860706347004,5.74115693786149,1.67534027462405,206.0886
342,6,2,10,-0.474401127289579,5.25684512715417,0.878477698603634,241.2086
343,6,2,10,-3.98381992422575,4.56626344124948,0.203682530493981,333.1149
344,6,2,10,-1.98853118712273,3.4680789367083,-0.0466025174981775,428.4256
347,6,2,10,-2.2288637967537,2.8686592763459,0.944869720391644,374.5799
353,6,2,10,-5.55453408380238,4.6242505776804,0.132420131167304,210.3547
