"inst","w","var","inc","feas","fixed_solved","fixed_time","flex_solved","flex_time"
277,4,5,10,TRUE,TRUE,0.102,TRUE,0.169
281,4,5,10,TRUE,TRUE,0.085,TRUE,0.194
282,4,5,10,TRUE,TRUE,0.116,TRUE,0.147
300,4,5,10,TRUE,TRUE,0.121,TRUE,0.504
312,4,5,10,TRUE,TRUE,0.103,TRUE,0.279
345,4,5,10,TRUE,TRUE,0.094,TRUE,0.392
352,4,5,10,TRUE,TRUE,0.112,TRUE,0.465
358,4,5,10,TRUE,TRUE,0.098,TRUE,0.378
359,4,5,10,TRUE,TRUE,0.1,TRUE,0.3
364,4,5,10,TRUE,TRUE,0.098,TRUE,0.327
379,4,5,10,TRUE,TRUE,0.099,TRUE,0.202
382,4,5,10,TRUE,TRUE,0.098,TRUE,0.153
419,4,5,10,TRUE,TRUE,0.108,TRUE,0.439
422,4,5,10,TRUE,TRUE,0.089,TRUE,0.176
429,4,5,10,TRUE,TRUE,0.094,TRUE,0.22
456,4,5,10,TRUE,TRUE,0.104,TRUE,0.21
46,4,5,10,FALSE,TRUE,0.121,TRUE,0.424
47,4,5,10,TRUE,TRUE,0.111,TRUE,0.218
49,4,5,10,TRUE,TRUE,0.089,TRUE,0.167
50,4,5,10,TRUE,TRUE,0.105,TRUE,0.238
502,4,5,10,TRUE,TRUE,0.119,TRUE,0.198
509,4,5,10,TRUE,TRUE,0.098,TRUE,0.137
51,4,5,10,FALSE,TRUE,0.158,TRUE,0.22
52,4,5,10,TRUE,TRUE,0.098,TRUE,0.234
56,4,5,10,TRUE,TRUE,0.101,TRUE,0.216
57,4,5,10,TRUE,TRUE,0.108,TRUE,0.611
59,4,5,10,TRUE,TRUE,0.101,TRUE,0.34
82,4,5,10,TRUE,TRUE,0.104,TRUE,0.184
127,4,5,20,FALSE,TRUE,0.124,TRUE,0.196
132,4,5,20,TRUE,TRUE,0.113,TRUE,0.167
144,4,5,20,FALSE,TRUE,0.127,TRUE,0.19
164,4,5,20,FALSE,TRUE,0.143,TRUE,0.153
191,4,5,20,FALSE,TRUE,0.12,TRUE,0.165
197,4,5,20,FALSE,TRUE,0.101,TRUE,0.207
202,4,5,20,FALSE,TRUE,0.162,TRUE,0.51
203,4,5,20,FALSE,TRUE,0.13,TRUE,0.311
209,4,5,20,FALSE,TRUE,0.223,TRUE,0.207
217,4,5,20,FALSE,TRUE,0.125,TRUE,0.33
276,4,5,20,FALSE,TRUE,0.151,TRUE,0.368
277,4,5,20,FALSE,TRUE,0.191,TRUE,0.537
281,4,5,20,FALSE,TRUE,0.116,TRUE,0.195
282,4,5,20,TRUE,TRUE,0.15,TRUE,0.19
300,4,5,20,FALSE,TRUE,0.118,TRUE,0.232
312,4,5,20,TRUE,TRUE,0.102,TRUE,0.196
345,4,5,20,TRUE,TRUE,0.088,TRUE,0.193
352,4,5,20,FALSE,TRUE,0.112,TRUE,0.163
358,4,5,20,TRUE,TRUE,0.144,TRUE,0.221
359,4,5,20,FALSE,TRUE,0.125,TRUE,0.256
364,4,5,20,TRUE,TRUE,0.107,TRUE,0.192
379,4,5,20,FALSE,TRUE,0.117,TRUE,0.237
382,4,5,20,FALSE,TRUE,0.159,TRUE,0.416
