"inst","w","var","inc","fixed_evpir","fixed_vssr","flex_evpir","flex_vssr"
116,5,2,10,9.67630457320585,6.76189379103789,7.25100544121126,-3.50130115921458
116,5,2,20,19.2267827529022,NA,2.29438314944835,0.601805416248741
116,5,5,10,16.4262212098203,6.30220197418374,8.74041318316866,0
116,5,5,20,19.6907377518613,NA,9.24869094546097,1.35906336412308
117,5,2,10,4.82475598935226,1.64152617568766,2.12159233489221,1.76799361241017
117,5,2,20,8.1539166284929,4.13421896472743,3.36185082540065,4.31377274370407
117,5,5,10,17.9994098554146,0,7.94355372995893,1.62978667020007
117,5,5,20,NA,NA,NA,NA
118,5,2,10,8.41054882394868,1.81753385602282,4.66180289353284,5.61394831210585
118,5,2,20,11.6121394748171,NA,6.64923846328711,1.42077744942032
118,5,5,10,7.3900651465798,9.03230184581977,2.15801548609119,0.673931746486958
118,5,5,20,18.0501089324619,10.7298474945534,11.789880987278,13.0151843817787
119,6,2,10,8.50046762963714,-2.5148082718485,4.6148846278843,-1.29996750081248
119,6,2,20,7.58753077050067,2.21618972977569,1.87454382291356,0
119,6,5,10,16.1851737281115,7.01541181019697,12.1271905947761,-0.602304974807316
119,6,5,20,17.0272720440242,17.1651324141604,15.1767783836776,1.50726058452301
120,6,2,10,5.92257521565308,-0.431306543235646,4.90216928966378,-1.09527860484859
120,6,2,20,NA,NA,NA,NA
120,6,5,10,13.3645579366099,6.70473501860616,8.67712701203829,0.838631137562702
120,6,5,20,10.4719026179757,NA,7.70156438026474,9.47223654804882
121,5,2,10,7.94791198922317,2.00942972608892,4.92753623188406,0.173913043478261
121,5,2,20,8.55472901168969,0,0.886892421101134,0
121,5,5,10,13.5143652502758,0,7.4163621028957,2.58644925499016
121,5,5,20,NA,NA,2.04562904464189,0
122,6,2,10,6.04840889276353,1.3077593722755,4.05121869782971,-1.65831942125743
122,6,2,20,4.37583296312771,NA,1.82440136830125,0
122,6,5,10,11.2789147189672,5.21962528980539,4.09781901923611,-2.18775399620727
122,6,5,20,17.9818172685721,NA,6.74471730439738,-0.542547115933633
123,5,2,10,7.78668610301264,5.11418853255587,3.89922775034814,1.44322066084314
123,5,2,20,37.2357234218644,NA,7.01148144019619,2.99855088618883
123,5,5,10,15.5406640268047,7.54797441364606,5.30054644808743,0
123,5,5,20,NA,NA,NA,NA
124,5,2,10,6.8732816795801,0.212446888277922,4.7180667433832,0
124,5,2,20,14.5096692985467,NA,8.40995464018635,5.89677577540761
124,5,5,10,17.9744017807457,1.24899523897855,8.5544909354105,0
124,5,5,20,10.0362027353178,NA,2.8031290743155,6.75068810662031
125,5,2,10,5.57001561686621,0,1.26547829636685,0
125,5,2,20,NA,NA,4.05188553089061,NA
125,5,5,10,11.7440439828955,3.16127061698229,3.29651941097725,0.57730923694778
125,5,5,20,17.4445527662686,NA,10.009298618491,0
126,5,2,10,7.2758243095267,3.51624285192846,5.3409514346044,-0.794932306545768
126,5,2,20,14.4704295030357,NA,5.04306578454625,3.3204344026963
126,5,5,10,9.67051775780916,0.745766856164791,7.21461760642973,0
126,5,5,20,10.7856730213749,NA,6.56461761858664,0
127,4,2,10,6.92317591043624,NA,3.14675950723085,0.160685591858597
127,4,2,20,NA,NA,NA,NA
127,4,5,10,20.2476067084143,6.98913121715972,16.7292950548625,2.09679843679543
127,4,5,20,NA,NA,NA,NA
128,5,2,10,3.92012740414063,9.5553105475928,1.64283922748934,1.09104589917232
128,5,2,20,NA,NA,8.82055885983616,NA
128,5,5,10,11.129621323765,6.20234510155699,3.6671759966662,0
128,5,5,20,16.6582712069313,NA,4.61228019602191,NA
129,5,2,10,3.06861421382104,0.932858721001585,5.4817474566128,-1.57989228007182
129,5,2,20,8.64616394877969,1.93717850497975,6.94537346711259,0.958751393534005
129,5,5,10,14.5956723157216,10.6491526417639,10.5954573357888,0.883977900552492
129,5,5,20,NA,NA,NA,NA
130,6,2,10,5.73218689162882,0.811161583387411,6.05729813694723,-2.28495414635787
130,6,2,20,8.27092868137524,NA,8.92511643914752,-2.22107024372293
130,6,5,10,12.5845289855072,-5.8695652173913,14.8169824643991,-9.6092738613626
130,6,5,20,14.7410960561335,0,12.6649606543155,-3.11047772476584
131,7,2,10,6.4158935132547,-1.152267911554,7.92670052602955,-3.61871939053146
131,7,2,20,5.95987366108203,5.41060148310895,4.17013713965827,0
131,7,5,10,11.4130773687259,3.10738926634033,11.4503869439327,-5.22769149776246
131,7,5,20,14.768588713089,2.25484389542271,8.82059648805217,-5.81553222302683
132,4,2,10,7.77443197372023,NA,1.15886753703975,0
132,4,2,20,NA,NA,NA,NA
132,4,5,10,NA,NA,NA,NA
132,4,5,20,NA,NA,16.667642409695,2.22469410456062
133,5,2,10,5.3807846471517,3.36450868456213,4.14667158853206,-0.701365817644893
133,5,2,20,NA,NA,NA,NA
133,5,5,10,14.4187561055031,3.50374470856398,10.3798676941963,5.79008388460752
133,5,5,20,10.6783990916832,7.93074084587,9.09406055003466,7.69008550959095
134,6,2,10,4.46068273530394,2.23579452502956,3.26855123674891,1.63427561837478
134,6,2,20,NA,NA,NA,NA
134,6,5,10,17.9732082817201,5.56243732672696,11.5281715230947,2.50668023921592
134,6,5,20,11.2986985217852,10.7437180281261,8.31521739130435,-0.283816425120647
