"inst","w","var","inc","feas","fixed_rp","fixed_bev","fixed_wev","flex_rp","flex_bev","flex_wev"
422,4,2,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
429,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
456,4,2,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
502,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
509,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,4,2,20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
56,4,2,20,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,4,2,20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
82,4,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
132,4,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
164,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
191,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
197,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
202,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
203,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
209,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
217,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
276,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
277,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
281,4,5,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
282,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
300,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
312,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
345,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
352,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
358,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
359,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
364,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
379,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
382,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
419,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
422,4,5,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
429,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
456,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
46,4,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
49,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
50,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
502,4,5,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
509,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
51,4,5,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
56,4,5,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
57,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
59,4,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
82,4,5,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,4,5,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
144,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
164,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
191,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
197,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
203,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
209,4,5,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
