"inst","w","var","inc","rd","evpir","vssr","time"
41,6,2,10,-0.425912921348312,7.1640005587793,-0.0290737921708746,2.5642
45,6,2,10,-0.65336322869955,6.25264458259648,-0.287955636047613,2.1043
60,6,2,10,0.975285518501823,7.9065260986165,2.56738164305377,2.0795
119,6,2,10,-2.97832276836726,5.69166021500353,0.47774395491787,2.4206
120,6,2,10,-0.43761834630739,5.50835580172754,0.00709072309614563,2.455
122,6,2,10,-0.000217959895170907,6.0482041155277,1.30798018304291,2.2619
130,6,2,10,-0.283452303698899,5.46374899135121,1.09823238356479,2.2419
134,6,2,10,-0.324092049296759,4.14986054087388,2.56840265865826,2.2806
135,6,2,10,0.558198958074676,4.78460054027377,1.92574760146647,2.3698
136,6,2,10,-0.986991725097281,5.52483847162822,0.289041920194514,2.5881
194,6,2,10,-1.36662749706205,8.371150475282,0.564207510929379,2.3049
195,6,2,10,-0.428487117687345,5.41364747831541,-0.999617693970126,2.1915
198,6,2,10,0.0299237952132585,7.36715031884582,0.0902840271488485,2.5515
200,6,2,10,0.232157213041316,4.58645816540162,0.638171270725467,2.1251
201,6,2,10,-3.18919095971176,8.00272069903557,1.66280196382145,1.9998
205,6,2,10,-2.22386442241203,6.77958628593755,3.3253577947905,2.1835
207,6,2,10,1.22584411125078,4.85701263599363,-0.31129356091144,2.5128
267,6,2,10,-0.129094619267328,4.63470187052773,1.10786344308731,2.5143
268,6,2,10,-0.806411062225011,4.0872022659156,1.01362126175696,2.5154
271,6,2,10,-0.117973930940086,4.94144159071518,1.32024331413557,2.8104
274,6,2,10,-1.2006229783158,5.2478561197417,1.65183330584512,2.24
278,6,2,10,-0.447648529586623,4.50146155253226,1.08376319668448,2.5158
279,6,2,10,0,3.81727158948686,0,2.4294
288,6,2,10,0.0331862312442698,6.91522343672486,0.396981073641392,2.2609
341,6,2,10,-2.52685043988248,7.92075946225372,6.77386073757226,2.1492
342,6,2,10,-0.684152629769682,7.34816869679923,5.99002918197517,2.3617
343,6,2,10,-0.227007786429151,8.32213590825194,-0.0273127434385469,2.2313
344,6,2,10,-0.353069306930692,6.55548991289973,1.19472791456842,2.1976
347,6,2,10,-0.576854668850696,4.97347235944654,4.70098841818041,2.0083
353,6,2,10,-0.875671140939395,8.57365991025499,2.53463240211428,2.379
354,6,2,10,-0.0662333046077105,5.21093635663154,3.06144779107464,2.1513
360,6,2,10,-3.41134322122435,5.49170217687942,1.95951846622943,2.2426
416,6,2,10,0.0177596485723246,6.14572850499208,3.63187050465418,2.5122
418,6,2,10,0.000219418540656965,6.28652487871668,4.54173441199272,2.1916
421,6,2,10,-2.28779840848806,5.70071258907363,1.01798439090601,1.9633
423,6,2,10,-0.712170866764392,2.82245122342641,2.09447324032152,2.0843
425,6,2,10,-0.123066783831069,3.6159470461173,2.46577093105676,2.4415
427,6,2,10,0.000207986688653103,5.33503466090962,2.61001952990946,2.24
431,6,2,10,-1.11293499671701,7.56157134087719,1.3026665078749,2.4079
438,6,2,10,-0.410894376426443,3.44201763347397,-0.0456319685245244,1.8838
491,6,2,10,0.000187406296672436,3.49530829215088,-0.000187405945461894,2.3402
494,6,2,10,0.000223763705313072,1.95815180543342,-0.000223763204612234,2.5512
495,6,2,10,0.000219635405017377,4.17330513220924,-0.000219634922621325,2.2137
497,6,2,10,-1.02378801565793,4.20851840584119,0.943109218132035,2.4378
498,6,2,10,-0.000209797545168179,5.61186533486906,0.88136133716824,2.4599
503,6,2,10,0.000213652387361205,4.38009960453027,-0.000213651930888754,1.7122
504,6,2,10,0.000208116545066414,6.89923642198456,-0.000208116111942352,2.1201
505,6,2,10,-0.782270507507881,1.39388203569138,-0.000216075591678523,1.9237
515,6,2,10,0,2.1360539629005,0.562113546936261,2.3314
41,6,2,20,0.803965194404451,7.64334500896831,3.43680658678357,5.3152
45,6,2,20,1.0854362703163,6.73310710826036,NA,2.8255
60,6,2,20,2.19598833819219,9.00817206744058,NA,4.7006
119,6,2,20,-0.000169029987618916,7.58737456545134,2.21636250608058,4.966
122,6,2,20,0.000222123500454047,4.37604536640301,NA,3.2612
130,6,2,20,0.431010774756084,8.6622990048256,NA,4.4182
135,6,2,20,0.260521500457676,5.73333011308259,0.460644072527578,3.0975
136,6,2,20,-0.000206564197064753,6.82785592806043,2.69704543733174,4.7576
194,6,2,20,0.822492332159268,7.81920472492227,-0.47268492057653,5.2256
195,6,2,20,0.244046242774342,8.69566182269046,0.207577923789864,3.2796
198,6,2,20,0.696406549011061,7.79086331870235,NA,5.0431
200,6,2,20,1.44456957227916,6.98501686808184,6.83963474176145,2.9092
201,6,2,20,0.607578435704599,9.23255196822378,7.98534575051971,2.6181
205,6,2,20,0.273398847848188,9.3171405855836,3.2319897154945,4.6439
207,6,2,20,1.54999999999977,8.04626239054989,NA,4.721
267,6,2,20,0.000208051596597133,7.69812192214309,NA,5.0234
268,6,2,20,0.000198866460981231,10.1523115197146,NA,3.0462
271,6,2,20,0.0545779765234117,5.47335996245171,NA,4.2297
274,6,2,20,-0.00018255581797216,14.7158513506113,4.0468641924221,5.14633333333333
278,6,2,20,0.0345065562456867,5.94455686711374,13.016036257361,4.8606
279,6,2,20,7.41854584544053,19.8106892694908,NA,1.7285
288,6,2,20,0.000215030641660922,8.4508795809492,NA,4.918
341,6,2,20,1.61137272323389,11.7218804655024,NA,3.3134
342,6,2,20,0.118926204650335,9.10494499677826,3.22458745171785,2.6337
344,6,2,20,0.160929938986109,10.6627439002762,0.155169745664831,3.9582
347,6,2,20,1.62694938440493,6.37480841035523,5.39284387547457,3.6868
353,6,2,20,-0.569288242233393,8.39268953947355,1.42553565601844,3.6803
360,6,2,20,0.700883152173914,8.59308954333104,NA,3.998
416,6,2,20,0,6.6969696969697,NA,4.513
418,6,2,20,0.341145605596639,8.36836873420387,1.05519126523688,4.2543
421,6,2,20,0,6.93012288276321,1.41702645854069,4.2453
423,6,2,20,0.0640384615384601,7.29216470869136,0.181667416217016,3.4916
425,6,2,20,0,6.74363578069894,NA,3.8764
427,6,2,20,-0.000171298091234302,2.67396778448379,NA,5.1877
431,6,2,20,0.196154616463242,4.86227912822763,NA,4.5209
438,6,2,20,0,3.35444410967158,5.24254293461886,3.0287
491,6,2,20,0,3.17278003482298,2.86322306055311,4.3193
494,6,2,20,0,9.54598370197905,NA,2.3363
495,6,2,20,0.000211014981862021,5.06453879607767,-0.000211014536589735,4.4081
497,6,2,20,0,9.75066598360656,NA,2.9134
503,6,2,20,0.000176959829949411,11.8387509489454,NA,4.81811111111111
504,6,2,20,0.000183334860948596,6.98521040386763,NA,4.521
505,6,2,20,-0.000164173689204783,12.9513005313764,1.0946754736873,4.0034
515,6,2,20,-0.000193944659840877,3.71708591118609,3.04946244900862,4.676
41,6,5,10,-4.17196789727114,17.1387199887215,6.95429907727217,2.4273
45,6,5,10,-0.0661577028257712,14.9591632951078,5.27480891363871,2.1357
60,6,5,10,-0.846199283882526,16.7703986505944,4.29478175215187,2.3646
119,6,5,10,-0.08997403745247,16.1090685098774,7.11258353544518,2.1099
120,6,5,10,-0.531348646221103,12.9014876478178,7.27507657032809,2.5901
122,6,5,10,-0.461206842533863,10.8673545805896,5.70771899838826,2.1355
130,6,5,10,-5.8695652173913,7.13367975365666,0,1.7171
